Date,Adj Close,Volume,Adj Close Change,COVID-19
10/1/2017,2575.26001,70871570000,0%,0
11/1/2017,2584.840088,95142800000,0.37%,0
12/1/2017,2673.610107,65251190000,3.32%,0
1/1/2018,2823.810059,76860120000,5.32%,0
2/1/2018,2713.830078,79579410000,-4.05%,0
3/1/2018,2640.870117,76369800000,-2.76%,0
4/1/2018,2648.050049,69648590000,0.27%,0
5/1/2018,2705.27002,75617280000,2.12%,0
6/1/2018,2718.370117,77439710000,0.48%,0
7/1/2018,2816.290039,64542170000,3.48%,0
8/1/2018,2901.52002,69238220000,2.94%,0
9/1/2018,2913.97998,62492080000,0.43%,0
10/1/2018,2711.73999,91327930000,-7.46%,0
11/1/2018,2760.169922,80080110000,1.75%,0
12/1/2018,2506.850098,83522570000,-10.11%,0
1/1/2019,2704.100098,80401630000,7.29%,0
2/1/2019,2784.48999,70183430000,2.89%,0
3/1/2019,2834.399902,78596280000,1.76%,0
4/1/2019,2945.830078,69604840000,3.78%,0
5/1/2019,2752.060059,76860120000,-7.04%,0
6/1/2019,2941.76001,70881390000,6.45%,0
7/1/2019,2980.379883,70349470000,1.30%,0
8/1/2019,2926.459961,79599440000,-1.84%,0
9/1/2019,2976.73999,73992330000,1.69%,0
10/1/2019,3037.560059,77564550000,2.00%,0
11/1/2019,3140.97998,72179920000,3.29%,0
12/1/2019,3230.780029,72054000000,2.78%,1
1/1/2020,3225.52002,77104420000,-0.16%,1
2/1/2020,2954.219971,84292270000,-9.18%,1
3/1/2020,2584.590088,1.62E+11,-14.30%,1
4/1/2020,2912.429932,1.23E+11,11.26%,1
5/1/2020,3044.310059,1.07E+11,4.33%,1
6/1/2020,3100.290039,1.31E+11,1.81%,1
7/1/2020,3271.120117,97197020000,5.22%,1
8/1/2020,3500.310059,84402300000,6.55%,1
9/1/2020,3363,92084120000,-4.08%,1
